"persid","participant_wt","age","sex","ses","dem_index","work_status","age_group_scen","age_group_2","occupation_cat","industry_cat","work_full","study_full","mod_total_hr","vig_total_hr","mod_leis_hr","vig_leis_hr","mod_work_hr","vig_work_hr","walk_rc","walk_trans","walk_base","pa_guide_adults","pa_guide_older_adults","time_base_car","distance_base_car","time_base_walking","distance_base_walking","time_base_public.transport","distance_base_public.transport","time_base_other","distance_base_other","time_base_bicycle","distance_base_bicycle","time_scen_car","distance_scen_car","time_scen_walking","distance_scen_walking","time_scen_public.transport","distance_scen_public.transport","time_scen_other","distance_scen_other","time_scen_bicycle","distance_scen_bicycle","walk_scen","scen"
"Y17H2810137P02",70.82,34,"female",8,8,"unemployed","30 to 34",32,"Professionals","Retail Trade","No",NA,2,0,2,0,0,0,0,0,"No","No","No",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","all_0_5"
"Y17H2810139P01",57.49,55,"female",8,18,"employed","55 to 59",57,"Professionals","Health Care and Social Assistance","Yes",NA,0,0,0,0,0,0,1,0,"No","No","No",15.1666666666667,71.86,0,0,0,0,0,0,0,0,13.65,68.31,0,0,0,0,0,0,2.25909090909091,3.55,"No","all_0_5"
"Y17H2810139P02",93.51,21,"male",8,3,"employed","20 tp 24",22,"Technicians and Trades Workers","Electricity, Gas, Water and Waste Services","Yes",NA,5.5,3.5,0.5,0.5,5,3,0,0,"No","No","No",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","all_0_5"
"Y17H2810141P01",150.21,63,"female",8,20,"employed","60 to 64",62,"Clerical and Administrative Workers","Other Services","Yes",NA,0,0,0,0,0,0,2,1,"Yes","No","No",7.58333333333333,83.46,1.16666666666667,0.76,0,0,0,0,0,0,7.58333333333333,83.46,1.16666666666667,0.76,0,0,0,0,0,0,"Yes","all_0_5"
"Y17H2810201P01",64.79,70,"male",9,23,"unemployed","70 to 74",72,"Not in Work Force","Not in Work Force","No",NA,0,0,0,0,0,0,1,0,"No","No","No",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","all_0_5"
"Y17H2810201P02",51.57,69,"female",9,22,"unemployed","65 to 69",67,"Not in Work Force","Not in Work Force","No",NA,0,0,0,0,0,0,0,0,"No","No","No",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","all_0_5"
"Y17H2810201P03",65.49,34,"female",9,8,"employed","30 to 34",32,"Professionals","Information Media and Telecommunications","Yes",NA,5,0,5,0,0,0,5,30,"Yes","No","Yes",0,0,3.15,2.21,5.71666666666667,36.13,0,0,0,0,0,0,3.15,2.21,5.71666666666667,36.13,0,0,0,0,"Yes","all_0_5"
"Y17H2810202P01",53.59,65,"male",9,21,"employed","65 to 69",67,"Machinery Operators and Drivers","Transport, Postal and Warehousing","No",NA,8.33333333333333,2.33333333333333,0.333333333333333,0.333333333333333,8,2,2,0,"No","No","No",11.0833333333333,47.33,0,0,0,0,0,0,0,0,11.0833333333333,47.33,0,0,0,0,0,0,0,0,"No","all_0_5"
"Y17H2810202P02",51.89,62,"female",9,20,"employed","60 to 64",62,"Professionals","Transport, Postal and Warehousing","No",NA,1,0,0,0,1,0,0,2,"Yes","No","No",15.2833333333333,48.98,3.5,1.78,0,0,0,0,0,0,14.5833333333333,47.37,3.5,1.78,0,0,0,0,1.02454545454545,1.61,"Yes","all_0_5"
"Y17H2810202P03",83.1,25,"female",9,6,"employed","25 to 29",27,"Professionals","Manufacturing","Yes",NA,2,0,2,0,0,0,0.333333333333333,0,"No","No","No",11.6666666666667,33.52,0,0,0,0,0,0,0,0,8.16666666666667,26.95,0,0,0,0,0,0,4.18090909090909,6.57,"No","all_0_5"
"Y17H2810202P04",85.82,29,"male",9,5,"employed","25 to 29",27,"Machinery Operators and Drivers","Transport, Postal and Warehousing","Yes",NA,1,0,1,0,0,0,2,0,"No","No","No",15.1666666666667,65.41,0,0,0,0,0,0,0,0,12.95,61.03,0,0,0,0,0,0,2.78727272727273,4.38,"No","all_0_5"
"Y17H2810204P01",62.57,48,"male",9,13,"employed","45 to 49",47,"Professionals","Professional, Scientific and Technical Services","Yes",NA,50,50,0,0,50,50,0,0,"No","No","No",9.91666666666667,52.03,0,0,0,0,0,0,0,0,9.91666666666667,52.03,0,0,0,0,0,0,0,0,"No","all_0_5"
"Y17H2810204P02",60.59,47,"female",9,14,"employed","45 to 49",47,"Clerical and Administrative Workers","Public Administration and Safety","Yes",NA,0,0.75,0,0.75,0,0,0.75,0,"No","No","No",4.08333333333333,10.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.98090909090909,10.97,"No","all_0_5"
"Y17H2810206P01",134.49,57,"male",9,17,"employed","55 to 59",57,"Professionals","Arts and Recreation Services","Yes",NA,0,0,0,0,0,0,0,3,"Yes","No","No",0,0,2.33333333333333,1.16,0,0,0,0,0,0,0,0,2.33333333333333,1.16,0,0,0,0,0,0,"Yes","all_0_5"
"Y17H2810206P02",182.22,32,"female",9,8,"unemployed","30 to 34",32,"Not in Work Force","Not in Work Force","No",NA,0.5,0,0.5,0,0,0,0,2.5,"Yes","No","No",0,0,2.33333333333333,1.16,0,0,0,0,0,0,0,0,2.33333333333333,1.16,0,0,0,0,0,0,"Yes","all_0_5"
"Y17H2810209P01",51.89,61,"female",9,20,"employed","60 to 64",62,"Labourers","Other Services","No",NA,10,10,10,10,0,0,7,0,"No","Yes","Yes",9.68333333333333,32.03,0,0,0,0,0,0,0,0,9.68333333333333,32.03,0,0,0,0,0,0,0,0,"No","all_0_5"
"Y17H2810210P01",63.71,76,"female",9,26,"unemployed","75 to 79",77,"Not in Work Force","Not in Work Force","No",NA,0,0,0,0,0,0,0,0,"No","No","No",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","all_0_5"
"Y17H2810210P02",54.97,54,"male",9,15,"employed","50 to 54",52,"Professionals","Professional, Scientific and Technical Services","Yes",NA,20,15,5,5,15,10,0,0,"No","Yes","Yes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","all_0_5"
"Y17H2810210P03",60.29,48,"female",9,14,"employed","45 to 49",47,"Community and Personal Service Workers","Other Services","No",NA,2.5,0,2.5,0,0,0,5,0,"No","No","Yes",2.33333333333333,8.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.32,8.36,"No","all_0_5"
"Y17H2810212P01",52.61,62,"female",9,20,"unemployed","60 to 64",62,"Not in Work Force","Not in Work Force","No",NA,1.5,0,1.5,0,0,0,1.5,0,"No","No","No",1.16666666666667,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67363636363636,2.63,"No","all_0_5"
"Y17H2810212P02",87,25,"male",9,5,"unemployed","25 to 29",27,"Not in Work Force","Not in Work Force","No",NA,0,0,0,0,0,0,0,0,"No","No","No",2.91666666666667,9.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75272727272727,9.04,"No","all_0_5"
"Y17H2810214P01",189.85,33,"female",9,8,"employed","30 to 34",32,"Managers","Financial and Insurance Services","Yes",NA,0,0,0,0,0,0,1.66666666666667,0,"No","No","No",1.75,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18181818181818,5,"No","all_0_5"
"Y17H2810216P01",61.71,48,"male",9,13,"employed","45 to 49",47,"Professionals","Arts and Recreation Services","No",NA,20,10,0,0,20,10,1,0,"No","No","No",15.1666666666667,43.45,0,0,0,0,0,0,0,0,9.91666666666667,31.88,0,0,0,0,0,0,7.36272727272727,11.57,"No","all_0_5"
"Y17H2810216P02",59.76,46,"female",9,14,"employed","45 to 49",47,"Professionals","Education and Training","Yes",NA,2,0,0,0,2,0,1,2,"Yes","No","No",2.33333333333333,11.57,2.33333333333333,1.6,0,0,0,0,0,0,0,0,2.33333333333333,1.6,0,0,0,0,7.36272727272727,11.57,"Yes","all_0_5"
"Y17H2810217P01",60.29,48,"female",8,14,"employed","45 to 49",47,"Professionals","Public Administration and Safety","Yes",NA,0,0,0,0,0,0,1,0,"No","No","No",17.5,48.12,0,0,0,0,0,0,0,0,2.91666666666667,19.27,0,0,0,0,0,0,18.3590909090909,28.85,"No","all_0_5"
"Y17H2810217P02",66.49,31,"female",8,8,"employed","30 to 34",32,"Professionals","Health Care and Social Assistance","Yes",NA,0,0,0,0,0,0,0,0,"No","No","No",19.7166666666667,68.51,0,0,0,0,0,0,0,0,18.6666666666667,66.2,0,0,0,0,0,0,1.47,2.31,"No","all_0_5"
"Y17H2810218P01",60.59,43,"female",9,12,"employed","40 to 44",42,"Machinery Operators and Drivers","Transport, Postal and Warehousing","No",NA,0,0,0,0,0,0,9.33333333333333,0,"No","No","Yes",10.2666666666667,24.17,0,0,0,0,0,0,0,0,4.31666666666667,12.59,0,0,0,0,0,0,7.36909090909091,11.58,"No","all_0_5"
"Y17H2810218P02",69.01,38,"male",9,9,"employed","35 to 39",37,"Machinery Operators and Drivers","Transport, Postal and Warehousing","Yes",NA,2,1,0,0,2,1,0,0,"No","No","No",5.36666666666667,18.81,0,0,0,0,0,0,0,0,3.96666666666667,14.37,0,0,0,0,0,0,2.82545454545455,4.44,"No","all_0_5"
"Y17H2810219P01",62.56,43,"male",9,11,"unemployed","40 to 44",42,"Not in Work Force","Not in Work Force","No",NA,0,0,0,0,0,0,0,0,"No","No","No",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","all_0_5"
"Y17H2810219P02",66.81,37,"female",9,10,"employed","35 to 39",37,"Professionals","Health Care and Social Assistance","Yes",NA,3,1.5,3,1.5,0,0,7,2,"Yes","Yes","Yes",6.18333333333333,18.02,2.33333333333333,1.46,0,0,0,0,0,0,5.48333333333333,15.27,2.33333333333333,1.46,0,0,0,0,1.75,2.75,"Yes","all_0_5"
"Y17H2810219P03",66.81,37,"female",9,10,"unemployed","35 to 39",37,"Not in Work Force","Not in Work Force","No","Full time",0,0,0,0,0,0,0.666666666666667,1,"Yes","No","No",0,0,1.28333333333333,1.13,4.9,19.54,0,0,0,0,0,0,1.28333333333333,1.13,4.9,19.54,0,0,0,0,"Yes","all_0_5"
"Y17H2810219P04",84.24,29,"female",9,6,"employed","25 to 29",27,"Clerical and Administrative Workers","Other Services","Yes",NA,0,0,0,0,0,0,0.666666666666667,0,"No","No","No",5.25,16.7,0,0,0,0,0,0,0,0,5.25,16.7,0,0,0,0,0,0,0,0,"No","all_0_5"
"Y17H2810222P01",45.05,44,"male",9,11,"employed","40 to 44",42,"Managers","Other Services","Yes",NA,1.5,0,1.5,0,0,0,0,3,"Yes","Yes","Yes",0,0,6.88333333333333,5.4,6.76666666666667,31.25,0,0,0,0,0,0,6.88333333333333,5.4,6.76666666666667,31.25,0,0,0,0,"Yes","all_0_5"
"Y17H2810222P02",43.62,40,"female",9,12,"unemployed","40 to 44",42,"Not in Work Force","Not in Work Force","No",NA,0,0,0,0,0,0,0.25,0.5,"Yes","No","No",5.25,13.42,1.16666666666667,0.66,0,0,0,0,0,0,0,0,1.16666666666667,0.66,0,0,0,0,8.54,13.42,"Yes","all_0_5"
"Y17H2810224P01",48.33,73,"male",9,23,"unemployed","70 to 74",72,"Not in Work Force","Not in Work Force","No",NA,0,0,0,0,0,0,1,0,"No","No","No",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","all_0_5"
"Y17H2810224P02",38.47,69,"female",9,22,"unemployed","65 to 69",67,"Not in Work Force","Not in Work Force","No",NA,0,0,0,0,0,0,0,0,"No","No","No",4.08333333333333,10.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.65,10.45,"No","all_0_5"
"Y17H2810225P01",40.59,55,"male",9,17,"employed","55 to 59",57,"Professionals","Other Services","Yes",NA,0,0,0,0,0,0,0,0,"No","No","No",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","all_0_5"
"Y17H2810225P02",39.3,53,"female",9,16,"unemployed","50 to 54",52,"Not in Work Force","Not in Work Force","No",NA,0,0,0,0,0,0,0,0,"No","No","No",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","all_0_5"
"Y17H2810226P01",44.51,48,"female",9,14,"employed","45 to 49",47,"Professionals","Wholesale Trade","Yes",NA,2,0,0,0,2,0,1,2,"Yes","No","No",0,0,6.88333333333333,4.72,0,0,0,0,0,0,0,0,6.88333333333333,4.72,0,0,0,0,0,0,"Yes","all_0_5"
"Y17H2810226P02",47.98,19,"female",9,2,"unemployed","15 to 19",17,"Not in Work Force","Not in Work Force","No","Full time",1.5,0,1.5,0,0,0,3,0,"No","No","No",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","all_0_5"
"Y17H2810227P01",115.07,48,"male",9,13,"employed","45 to 49",47,"Managers","Manufacturing","Yes",NA,50,50,0,0,50,50,0,0,"No","No","No",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","all_0_5"
"Y17H2810227P02",109.46,44,"female",9,12,"employed","40 to 44",42,"Labourers","Manufacturing","Yes",NA,0,0,0,0,0,0,0,0,"No","No","No",3.5,5.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57636363636364,5.62,"No","all_0_5"
"Y17H2810229P01",37.88,68,"female",9,22,"unemployed","65 to 69",67,"Not in Work Force","Not in Work Force","No",NA,0,0,0,0,0,0,0,2,"Yes","No","No",0,0,8.16666666666667,6.13,0,0,0,0,0,0,0,0,8.16666666666667,6.13,0,0,0,0,0,0,"Yes","all_0_5"
"Y17H2810232P01",63.93,22,"male",9,3,"employed","20 tp 24",22,"Labourers","Education and Training","Yes",NA,1,9,0,9,1,0,0,0,"No","Yes","Yes",36.1666666666667,180.75,0,0,0,0,0,0,0,0,35,179.74,0,0,0,0,0,0,0.642727272727273,1.01,"No","all_0_5"
"Y17H2810232P02",61.91,21,"female",9,4,"employed","20 tp 24",22,"Professionals","Professional, Scientific and Technical Services","No",NA,2.5,0,2.5,0,0,0,3,0,"No","Yes","Yes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","all_0_5"
"Y17H2810233P01",45.96,43,"male",9,11,"employed","40 to 44",42,"Professionals","Financial and Insurance Services","Yes",NA,0,2,0,2,0,0,0,0,"No","No","No",8.98333333333333,18.46,0,0,0,0,0,0,0,0,5.6,12.19,0,0,0,0,0,0,3.99,6.27,"No","all_0_5"
"Y17H2810235P01",109.21,90,"female",9,32,"unemployed","85 +",92,"Not in Work Force","Not in Work Force","No",NA,0,0,0,0,0,0,0,0,"No","No","No",2.33333333333333,4.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.13727272727273,4.93,"No","all_0_5"
"Y17H2810235P02",114.8,88,"male",9,29,"unemployed","85 +",87,"Not in Work Force","Not in Work Force","No",NA,0,0,0,0,0,0,0.25,0,"No","No","No",2.33333333333333,4.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.13727272727273,4.93,"No","all_0_5"
"Y17H2810235P03",89.62,60,"female",9,20,"employed","60 to 64",62,"Clerical and Administrative Workers","Other Services","Yes",NA,0,3,0,3,0,0,2,0,"No","No","Yes",2.91666666666667,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.37090909090909,8.44,"No","all_0_5"
"Y17H2810236P01",48.11,36,"female",9,10,"employed","35 to 39",37,"Labourers","Accommodation and Food Services","No",NA,0,0,0,0,0,0,1.25,0,"No","No","No",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","all_0_5"
"Y17H2810236P02",49.69,34,"male",9,7,"employed","30 to 34",32,"Professionals","Financial and Insurance Services","Yes",NA,0,4.5,0,4.5,0,0,1.66666666666667,30,"Yes","Yes","Yes",0,0,3.5,2.47,8.28333333333333,39.84,0,0,0,0,0,0,3.5,2.47,8.28333333333333,39.84,0,0,0,0,"Yes","all_0_5"
"Y17H2810237P01",45.34,47,"male",9,13,"employed","45 to 49",47,"Professionals","Professional, Scientific and Technical Services","Yes",NA,0,0,0,0,0,0,2.5,0,"No","No","No",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","all_0_5"
"Y17H2810237P02",43.9,42,"female",9,12,"employed","40 to 44",42,"Professionals","Health Care and Social Assistance","No",NA,0,0,0,0,0,0,0.5,0,"No","No","No",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","all_0_5"
