"persid","hhid","age","age_group","age_group_2","sex","work_status","work_full","study_full","occupation_cat","industry_cat","SurveyPeriod","HomeSubRegion","HOMEPC","participant_wt","ses","time_base_car","distance_base_car","time_base_walking","distance_base_walking","time_base_public.transport","distance_base_public.transport","time_base_other","distance_base_other","time_base_bicycle","distance_base_bicycle","time_scen_car","distance_scen_car","time_scen_walking","distance_scen_walking","time_scen_public.transport","distance_scen_public.transport","time_scen_other","distance_scen_other","time_scen_bicycle","distance_scen_bicycle","walk_base","walk_scen","walk_base_min"
"Y17H2810121P02","Y17H2810121",34,8,32,"male","employed","Yes",NA,"Managers","Professional, Scientific and Technical Services","2017-18","MELB - middle",3196,256.07,8,8.16666666666667,98.68,0,0,0,0,0,0,0,0,7,97.7,1.715,0.98,0,0,0,0,0,0,"No","Yes","No"
"Y17H2810124P01","Y17H2810124",50,12,52,"male","employed","Yes",NA,"Machinery Operators and Drivers","Retail Trade","2017-18","MELB - middle",3197,59.07,8,5.83333333333333,29.61,0,0,0,0,0,0,0,0,5.25,27.59,0,0,0,0,0,0,1.28545454545455,2.02,"No","No","No"
"Y17H2810124P02","Y17H2810124",39,9,37,"female","employed","Yes",NA,"Professionals","Education and Training","2017-18","MELB - middle",3197,71.46,8,4.9,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00727272727273,9.44,"No","No","No"
"Y17H2810127P01","Y17H2810127",71,16,72,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - middle",3197,192.42,8,7.58333333333333,37.96,0,0,0,0,0,0,0,0,7.58333333333333,37.96,0,0,0,0,0,0,0,0,"No","No","No"
"Y17H2810127P02","Y17H2810127",66,15,67,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - middle",3197,150.21,8,6.41666666666667,41.34,0,0,0,0,0,0,0,0,6.41666666666667,41.34,0,0,0,0,0,0,0,0,"No","No","No"
"Y17H2810129P01","Y17H2810129",71,16,72,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - middle",3197,67.42,8,7,8.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18,8.14,"No","No","No"
"Y17H2810132P01","Y17H2810132",91,19,92,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - middle",3197,68.8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"Y17H2810132P02","Y17H2810132",51,12,52,"male","employed","No",NA,"Professionals","Information Media and Telecommunications","2017-18","MELB - middle",3197,59.37,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"Y17H2810133P01","Y17H2810133",65,15,67,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - middle",3197,58.38,8,7,20.88,0,0,0,0,0,0,0,0,4.66666666666667,16.88,0,0,0,0,0,0,2.54545454545455,4,"No","No","No"
"Y17H2810135P01","Y17H2810135",90,19,92,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - middle",3197,190.7,8,0,0,0.933333333333333,0.92,0,0,0,0,0,0,0,0,0.933333333333333,0.92,0,0,0,0,0,0,"Yes","Yes","No"
"Y17H2810137P01","Y17H2810137",40,10,42,"male","employed","Yes",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - middle",3197,66.31,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"Y17H2810137P02","Y17H2810137",34,8,32,"female","unemployed","No",NA,"Professionals","Retail Trade","2017-18","MELB - middle",3197,70.82,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"Y17H2810139P01","Y17H2810139",55,13,57,"female","employed","Yes",NA,"Professionals","Health Care and Social Assistance","2017-18","MELB - middle",3197,57.49,8,15.1666666666667,71.86,0,0,0,0,0,0,0,0,13.65,68.31,6.2125,3.55,0,0,0,0,0,0,"No","Yes","No"
"Y17H2810139P02","Y17H2810139",21,6,22,"male","employed","Yes",NA,"Technicians and Trades Workers","Electricity, Gas, Water and Waste Services","2017-18","MELB - middle",3197,93.51,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"Y17H2810141P01","Y17H2810141",63,14,62,"female","employed","Yes",NA,"Clerical and Administrative Workers","Other Services","2017-18","MELB - middle",3197,150.21,8,7.58333333333333,83.46,1.16666666666667,0.76,0,0,0,0,0,0,7.58333333333333,83.46,1.16666666666667,0.76,0,0,0,0,0,0,"Yes","Yes","No"
"Y17H2810201P01","Y17H2810201",70,16,72,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - middle",3130,64.79,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"Y17H2810201P02","Y17H2810201",69,15,67,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - middle",3130,51.57,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"Y17H2810201P03","Y17H2810201",34,8,32,"female","employed","Yes",NA,"Professionals","Information Media and Telecommunications","2017-18","MELB - middle",3130,65.49,9,0,0,3.15,2.21,5.71666666666667,36.13,0,0,0,0,0,0,3.15,2.21,5.71666666666667,36.13,0,0,0,0,"Yes","Yes","Yes"
"Y17H2810202P01","Y17H2810202",65,15,67,"male","employed","No",NA,"Machinery Operators and Drivers","Transport, Postal and Warehousing","2017-18","MELB - middle",3130,53.59,9,11.0833333333333,47.33,0,0,0,0,0,0,0,0,11.0833333333333,47.33,0,0,0,0,0,0,0,0,"No","No","No"
"Y17H2810202P02","Y17H2810202",62,14,62,"female","employed","No",NA,"Professionals","Transport, Postal and Warehousing","2017-18","MELB - middle",3130,51.89,9,15.2833333333333,48.98,3.5,1.78,0,0,0,0,0,0,14.5833333333333,47.37,6.3175,3.39,0,0,0,0,0,0,"Yes","Yes","Yes"
"Y17H2810202P03","Y17H2810202",25,7,27,"female","employed","Yes",NA,"Professionals","Manufacturing","2017-18","MELB - middle",3130,83.1,9,11.6666666666667,33.52,0,0,0,0,0,0,0,0,8.16666666666667,26.95,4.9525,2.83,0,0,0,0,2.38,3.74,"No","Yes","No"
"Y17H2810202P04","Y17H2810202",29,7,27,"male","employed","Yes",NA,"Machinery Operators and Drivers","Transport, Postal and Warehousing","2017-18","MELB - middle",3130,85.82,9,15.1666666666667,65.41,0,0,0,0,0,0,0,0,12.95,61.03,0,0,0,0,0,0,2.78727272727273,4.38,"No","No","No"
"Y17H2810204P01","Y17H2810204",48,11,47,"male","employed","Yes",NA,"Professionals","Professional, Scientific and Technical Services","2017-18","MELB - middle",3130,62.57,9,9.91666666666667,52.03,0,0,0,0,0,0,0,0,9.91666666666667,52.03,0,0,0,0,0,0,0,0,"No","No","No"
"Y17H2810204P02","Y17H2810204",47,11,47,"female","employed","Yes",NA,"Clerical and Administrative Workers","Public Administration and Safety","2017-18","MELB - middle",3130,60.59,9,4.08333333333333,10.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.98090909090909,10.97,"No","No","No"
"Y17H2810206P01","Y17H2810206",57,13,57,"male","employed","Yes",NA,"Professionals","Arts and Recreation Services","2017-18","MELB - middle",3130,134.49,9,0,0,2.33333333333333,1.16,0,0,0,0,0,0,0,0,2.33333333333333,1.16,0,0,0,0,0,0,"Yes","Yes","Yes"
"Y17H2810206P02","Y17H2810206",32,8,32,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - middle",3130,182.22,9,0,0,2.33333333333333,1.16,0,0,0,0,0,0,0,0,2.33333333333333,1.16,0,0,0,0,0,0,"Yes","Yes","Yes"
"Y17H2810209P01","Y17H2810209",61,14,62,"female","employed","No",NA,"Labourers","Other Services","2017-18","MELB - middle",3130,51.89,9,9.68333333333333,32.03,0,0,0,0,0,0,0,0,9.68333333333333,32.03,0,0,0,0,0,0,0,0,"No","No","No"
"Y17H2810210P01","Y17H2810210",76,17,77,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - middle",3130,63.71,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"Y17H2810210P02","Y17H2810210",54,12,52,"male","employed","Yes",NA,"Professionals","Professional, Scientific and Technical Services","2017-18","MELB - middle",3130,54.97,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"Y17H2810210P03","Y17H2810210",48,11,47,"female","employed","No",NA,"Community and Personal Service Workers","Other Services","2017-18","MELB - middle",3130,60.29,9,2.33333333333333,8.36,0,0,0,0,0,0,0,0,0,0,6.685,3.82,0,0,0,0,2.88909090909091,4.54,"No","Yes","No"
"Y17H2810212P01","Y17H2810212",62,14,62,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - middle",3130,52.61,9,1.16666666666667,2.63,0,0,0,0,0,0,0,0,0,0,4.6025,2.63,0,0,0,0,0,0,"No","Yes","No"
"Y17H2810212P02","Y17H2810212",25,7,27,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - middle",3130,87,9,2.91666666666667,9.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75272727272727,9.04,"No","No","No"
"Y17H2810214P01","Y17H2810214",33,8,32,"female","employed","Yes",NA,"Managers","Financial and Insurance Services","2017-18","MELB - middle",3130,189.85,9,1.75,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18181818181818,5,"No","No","No"
"Y17H2810216P01","Y17H2810216",48,11,47,"male","employed","No",NA,"Professionals","Arts and Recreation Services","2017-18","MELB - middle",3130,61.71,9,15.1666666666667,43.45,0,0,0,0,0,0,0,0,9.91666666666667,31.88,0,0,0,0,0,0,7.36272727272727,11.57,"No","No","No"
"Y17H2810216P02","Y17H2810216",46,11,47,"female","employed","Yes",NA,"Professionals","Education and Training","2017-18","MELB - middle",3130,59.76,9,2.33333333333333,11.57,2.33333333333333,1.6,0,0,0,0,0,0,0,0,7.35583333333333,4.47,0,0,0,0,5.53636363636364,8.7,"Yes","Yes","Yes"
"Y17H2810217P01","Y17H2810217",48,11,47,"female","employed","Yes",NA,"Professionals","Public Administration and Safety","2017-18","MELB - middle",3129,60.29,8,17.5,48.12,0,0,0,0,0,0,0,0,2.91666666666667,19.27,0,0,0,0,0,0,18.3590909090909,28.85,"No","No","No"
"Y17H2810217P02","Y17H2810217",31,8,32,"female","employed","Yes",NA,"Professionals","Health Care and Social Assistance","2017-18","MELB - middle",3129,66.49,8,19.7166666666667,68.51,0,0,0,0,0,0,0,0,18.6666666666667,66.2,0,0,0,0,0,0,1.47,2.31,"No","No","No"
"Y17H2810218P01","Y17H2810218",43,10,42,"female","employed","No",NA,"Machinery Operators and Drivers","Transport, Postal and Warehousing","2017-18","MELB - middle",3130,60.59,9,10.2666666666667,24.17,0,0,0,0,0,0,0,0,4.31666666666667,12.59,16.5725,9.47,0,0,0,0,1.34272727272727,2.11,"No","Yes","No"
"Y17H2810218P02","Y17H2810218",38,9,37,"male","employed","Yes",NA,"Machinery Operators and Drivers","Transport, Postal and Warehousing","2017-18","MELB - middle",3130,69.01,9,5.36666666666667,18.81,0,0,0,0,0,0,0,0,3.96666666666667,14.37,0,0,0,0,0,0,2.82545454545455,4.44,"No","No","No"
"Y17H2810219P01","Y17H2810219",43,10,42,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - middle",3130,62.56,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"Y17H2810219P02","Y17H2810219",37,9,37,"female","employed","Yes",NA,"Professionals","Health Care and Social Assistance","2017-18","MELB - middle",3130,66.81,9,6.18333333333333,18.02,2.33333333333333,1.46,0,0,0,0,0,0,5.48333333333333,15.27,2.33333333333333,1.46,0,0,0,0,1.75,2.75,"Yes","Yes","Yes"
"Y17H2810219P03","Y17H2810219",37,9,37,"female","unemployed","No","Full time","Not in Work Force","Not in Work Force","2017-18","MELB - middle",3130,66.81,9,0,0,1.28333333333333,1.13,4.9,19.54,0,0,0,0,0,0,1.28333333333333,1.13,4.9,19.54,0,0,0,0,"Yes","Yes","No"
"Y17H2810219P04","Y17H2810219",29,7,27,"female","employed","Yes",NA,"Clerical and Administrative Workers","Other Services","2017-18","MELB - middle",3130,84.24,9,5.25,16.7,0,0,0,0,0,0,0,0,5.25,16.7,0,0,0,0,0,0,0,0,"No","No","No"
"Y17H2810222P01","Y17H2810222",44,10,42,"male","employed","Yes",NA,"Managers","Other Services","2017-18","MELB - middle",3130,45.05,9,0,0,6.88333333333333,5.4,6.76666666666667,31.25,0,0,0,0,0,0,6.88333333333333,5.4,6.76666666666667,31.25,0,0,0,0,"Yes","Yes","Yes"
"Y17H2810222P02","Y17H2810222",40,10,42,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - middle",3130,43.62,9,5.25,13.42,1.16666666666667,0.66,0,0,0,0,0,0,0,0,14.3091666666667,8.17,0,0,0,0,3.76090909090909,5.91,"Yes","Yes","No"
"Y17H2810224P01","Y17H2810224",73,16,72,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - middle",3130,48.33,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"Y17H2810224P02","Y17H2810224",69,15,67,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - middle",3130,38.47,9,4.08333333333333,10.45,0,0,0,0,0,0,0,0,0,0,9.2225,5.27,0,0,0,0,3.29636363636364,5.18,"No","Yes","No"
"Y17H2810225P01","Y17H2810225",55,13,57,"male","employed","Yes",NA,"Professionals","Other Services","2017-18","MELB - middle",3130,40.59,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"Y17H2810225P02","Y17H2810225",53,12,52,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - middle",3130,39.3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"Y17H2810226P01","Y17H2810226",48,11,47,"female","employed","Yes",NA,"Professionals","Wholesale Trade","2017-18","MELB - middle",3130,44.51,9,0,0,6.88333333333333,4.72,0,0,0,0,0,0,0,0,6.88333333333333,4.72,0,0,0,0,0,0,"Yes","Yes","Yes"
"Y17H2810226P02","Y17H2810226",19,5,17,"female","unemployed","No","Full time","Not in Work Force","Not in Work Force","2017-18","MELB - middle",3130,47.98,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"Y17H2810227P01","Y17H2810227",48,11,47,"male","employed","Yes",NA,"Managers","Manufacturing","2017-18","MELB - middle",3130,115.07,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"Y17H2810227P02","Y17H2810227",44,10,42,"female","employed","Yes",NA,"Labourers","Manufacturing","2017-18","MELB - middle",3130,109.46,9,3.5,5.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57636363636364,5.62,"No","No","No"
"Y17H2810229P01","Y17H2810229",68,15,67,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - middle",3130,37.88,9,0,0,8.16666666666667,6.13,0,0,0,0,0,0,0,0,8.16666666666667,6.13,0,0,0,0,0,0,"Yes","Yes","Yes"
"Y17H2810232P01","Y17H2810232",22,6,22,"male","employed","Yes",NA,"Labourers","Education and Training","2017-18","MELB - middle",3130,63.93,9,36.1666666666667,180.75,0,0,0,0,0,0,0,0,35,179.74,1.7675,1.01,0,0,0,0,0,0,"No","Yes","No"
"Y17H2810232P02","Y17H2810232",21,6,22,"female","employed","No",NA,"Professionals","Professional, Scientific and Technical Services","2017-18","MELB - middle",3130,61.91,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"Y17H2810233P01","Y17H2810233",43,10,42,"male","employed","Yes",NA,"Professionals","Financial and Insurance Services","2017-18","MELB - middle",3130,45.96,9,8.98333333333333,18.46,0,0,0,0,0,0,0,0,5.6,12.19,0,0,0,0,0,0,3.99,6.27,"No","No","No"
"Y17H2810235P01","Y17H2810235",90,19,92,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - middle",3130,109.21,9,2.33333333333333,4.93,0,0,0,0,0,0,0,0,0,0,4.97,2.84,0,0,0,0,1.33,2.09,"No","Yes","No"
"Y17H2810235P02","Y17H2810235",88,19,87,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - middle",3130,114.8,9,2.33333333333333,4.93,0,0,0,0,0,0,0,0,0,0,4.97,2.84,0,0,0,0,1.33,2.09,"No","Yes","No"
"Y17H2810235P03","Y17H2810235",60,14,62,"female","employed","Yes",NA,"Clerical and Administrative Workers","Other Services","2017-18","MELB - middle",3130,89.62,9,2.91666666666667,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.37090909090909,8.44,"No","No","No"
"Y17H2810236P01","Y17H2810236",36,9,37,"female","employed","No",NA,"Labourers","Accommodation and Food Services","2017-18","MELB - middle",3130,48.11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"Y17H2810236P02","Y17H2810236",34,8,32,"male","employed","Yes",NA,"Professionals","Financial and Insurance Services","2017-18","MELB - middle",3130,49.69,9,0,0,3.5,2.47,8.28333333333333,39.84,0,0,0,0,0,0,3.5,2.47,8.28333333333333,39.84,0,0,0,0,"Yes","Yes","Yes"
"Y17H2810237P01","Y17H2810237",47,11,47,"male","employed","Yes",NA,"Professionals","Professional, Scientific and Technical Services","2017-18","MELB - middle",3130,45.34,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"Y17H2810237P02","Y17H2810237",42,10,42,"female","employed","No",NA,"Professionals","Health Care and Social Assistance","2017-18","MELB - middle",3130,43.9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"Y17H2810238P01","Y17H2810238",87,19,87,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - middle",3130,46.8,9,3.5,11.59,0,0,0,0,0,0,0,0,3.5,11.59,0,0,0,0,0,0,0,0,"No","No","No"
"Y17H2810238P02","Y17H2810238",60,14,62,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - middle",3130,39.72,9,6.41666666666667,23.18,0,0,0,0,0,0,0,0,6.41666666666667,23.18,0,0,0,0,0,0,0,0,"No","No","No"
"Y17H2810239P01","Y17H2810239",77,17,77,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - middle",3130,48.58,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"Y17H2810239P02","Y17H2810239",74,16,72,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - middle",3130,47.04,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"Y17H2810242P01","Y17H2810242",91,19,92,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - middle",3130,109.21,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"Y17H2810242P02","Y17H2810242",49,11,47,"female","employed","Yes",NA,"Clerical and Administrative Workers","Health Care and Social Assistance","2017-18","MELB - middle",3130,114.04,9,7,34.27,0,0,0,0,0,0,0,0,7,34.27,0,0,0,0,0,0,0,0,"No","No","No"
"Y17H2810301P01","Y17H2810301",51,12,52,"male","employed","Yes",NA,"Professionals","Agriculture, Forestry and Fishing","2017-18","MELB - inner",3183,137.16,9,0,0,9.21666666666667,3.51,5.01666666666667,16.35,9.33333333333333,6.98,0,0,0,0,9.21666666666667,3.51,5.01666666666667,16.35,9.33333333333333,6.98,0,0,"Yes","Yes","Yes"
"Y17H2810302P01","Y17H2810302",43,10,42,"male","employed","No",NA,"Sales Workers","Information Media and Telecommunications","2017-18","MELB - inner",3183,156.36,9,11.6666666666667,63.04,1.63333333333333,1.02,0,0,0,0,0,0,11.6666666666667,63.04,1.63333333333333,1.02,0,0,0,0,0,0,"Yes","Yes","No"
